st_zip,ed_zip,distance
10007,11221,8836
10007,11222,9569
10007,11223,15705
10007,11224,21416
10007,11225,8475
10007,11226,11770
10007,11228,14173
10007,11229,16818
10007,11230,12729
10007,11231,6267
10007,11232,9576
10007,11233,10060
10007,11234,31718
10007,11235,23285
10007,11236,35224
10007,11237,12285
10007,11238,6410
10007,11239,35271
10007,11354,23369
10007,11355,21132
10007,11356,25223
10007,11357,26418
10007,11358,25119
10007,11360,29757
10007,11361,27578
10007,11362,28485
10007,11363,29945
10007,11364,26236
10007,11365,22692
10007,11367,22138
10007,11368,18735
10007,11369,18023
10007,11370,16171
10007,11372,15508
10007,11373,15171
10007,11374,16472
10007,11375,17836
10007,11377,13250
10007,11378,13006
10007,11379,15220
10007,11385,15350
10007,11411,35540
10007,11412,28285
10007,11413,32307
10007,11414,39085
10007,11415,23262
10007,11416,21761
10007,11417,22138
10007,11418,20910
10007,11419,25925
10007,11420,27512
10007,11421,21167
10007,11422,34010
10007,11423,26648
10007,11426,29613
10007,11427,27479
10007,11428,28288
10007,11429,29739
10007,11432,25033
10007,11433,25971
10007,11434,29441
10007,11435,23973
10007,11436,27129
10007,11691,43463
10007,11692,40119
10007,11693,44977
10007,11694,35877
10009,10001,4594
10009,10002,1907
10009,10003,1133
10009,10004,3308
10009,10005,6024
10009,10006,6847
10009,10007,7933
10009,10009,0
10009,10010,1886
10009,10011,3155
10009,10012,1987
10009,10013,2755
10009,10014,3442
10009,10016,2837
10009,10017,3672
10009,10018,5756
10009,10019,6577
10009,10021,6038
10009,10022,4562
10009,10023,7884
10009,10024,11615
10009,10025,10658
10009,10026,10878
10009,10027,14199
10009,10028,8986
10009,10029,9020
10009,10030,12711
10009,10031,15606
10009,10032,18163
10009,10033,16031
10009,10034,17875
10009,10035,11510
10009,10036,5741
10009,10037,11883
10009,10038,8972
10009,10039,14309
10009,10040,17983
10009,10044,8912
10009,10065,5624
10009,10069,8418
10009,10075,3308
10009,10128,8899
10009,10280,7018
10009,10282,7535
10009,10301,27886
10009,10302,32320
10009,10303,32809
10009,10304,24308
10009,10305,23412
10009,10306,31936
10009,10307,48356
10009,10308,35910
10009,10309,43599
10009,10310,27707
10009,10312,41689
10009,10314,30485
10009,10451,13532
10009,10452,15193
10009,10453,18268
10009,10454,11979
10009,10455,14229
10009,10456,15065
10009,10457,18650
10009,10458,23943
10009,10459,17106
10009,10460,18019
10009,10461,22287
10009,10462,20346
10009,10463,20292
10009,10464,28056
10009,10465,21514
10009,10466,25643
10009,10467,22602
10009,10468,19253
10009,10469,26344
10009,10471,25430
10009,10472,17916
10009,10473,18088
10009,10474,16947
10009,10475,25965
10009,11101,6759
10009,11102,9169
10009,11103,15383
10009,11104,7986
10009,11105,15584
10009,11106,8493
10009,11201,7624
10009,11203,18447
10009,11204,18500
10009,11205,9032
10009,11206,5891
10009,11207,27557
10009,11208,20678
10009,11209,18432
10009,11210,18905
10009,11211,4568
10009,11212,11998
10009,11213,9744
10009,11214,24451
10009,11215,12389
10009,11216,7701
10009,11217,9188
10009,11218,14807
10009,11219,16549
10009,11220,16666
10009,11221,7685
10009,11222,7490
10009,11223,20369
10009,11224,26080
10009,11225,12372
10009,11226,16434
10009,11228,18837
10009,11229,21482
10009,11230,17392
10009,11231,10931
10009,11232,14239
10009,11233,9858
10009,11234,36381
10009,11235,27949
10009,11236,39888
10009,11237,9874
10009,11238,10308
10009,11239,39934
10009,11354,19530
10009,11355,18218
10009,11356,21632
10009,11357,24007
10009,11358,22205
10009,11360,26193
10009,11361,24665
10009,11362,25572
10009,11363,27032
10009,11364,23323
10009,11365,19778
10009,11367,19225
10009,11368,15822
10009,11369,15612
10009,11370,13760
10009,11372,13097
10009,11373,13552
10009,11374,13559
10009,11375,14923
10009,11377,10838
10009,11378,10097
10009,11379,14360
10009,11385,12440
10009,11411,32627
10009,11412,25372
10009,11413,29394
10009,11414,21432
10009,11415,20348
10009,11416,18848
10009,11417,19225
10009,11418,17996
10009,11419,23012
10009,11420,24598
10009,11421,18254
10009,11422,31097
10009,11423,23735
10009,11426,26700
10009,11427,24566
10009,11428,25375
10009,11429,26826
10009,11432,22119
10009,11433,23058
10009,11434,26527
10009,11435,21060
10009,11436,24216
10009,11691,36526
10009,11692,44783
10009,11693,27325
10009,11694,40541
10010,10001,3058
10010,10002,4751
10010,10003,1158
10010,10004,3709
10010,10005,7255
10010,10006,8078
10010,10007,4240
10010,10009,2020
10010,10010,0
10010,10011,2528
10010,10012,2389
10010,10013,3157
10010,10014,3150
10010,10016,1281
10010,10017,2329
10010,10018,4196
10010,10019,5405
10010,10021,5234
10010,10022,3307
10010,10023,6094
10010,10024,10810
10010,10025,9853
10010,10026,10074
10010,10027,13394
10010,10028,8181
10010,10029,8216
10010,10030,11906
10010,10031,14801
